	vector A	
t	θ	
0.000	-83.39
0.033	
0.067	-80.79
0.100	
0.133	-82.23
0.167	
0.200	-80.77
0.233	
0.267	-80.79
0.300	
0.333	-80.11
0.367	
0.400	-81.60
0.433	
0.467	-80.24
0.500	
0.533	-82.33
0.567	
0.600	
0.633	
0.667	-76.87
0.700	
0.733	-81.03
0.767	
0.800	-81.32
0.833	
0.867	-82.07
0.900	
0.933	-81.10
0.967	
1.000	-81.61
1.033	
1.067	-81.42
1.100	
1.133	-83.57
1.167	
1.200	-83.66
1.233	
1.267	-83.32
1.300	
1.333	-82.67
1.367	
1.400	
1.433	
1.467	
1.500	
1.533	
1.567	-83.80
1.600	
1.633	
1.667	
1.700	
1.733	
1.767	
1.800	-85.83
1.833	
1.867	
1.900	
1.933	-85.57
1.967	
2.000	
2.033	-86.13
2.067	
2.100	
2.133	
2.167	
2.200	
2.233	-85.57
2.267	
2.300	
2.333	
2.367	-87.04
2.400	
2.433	
2.467	
2.500	-88.22
2.533	
2.567	-87.85
2.600	
2.633	-88.20
2.667	
2.700	-90.45
